Tip Program;Nr threads;Timp executie;No of Runs;FisierIntrare;Impartire Threaduri;Tip alocare;;;;;;;;;;
0;1;8020;10;n10m10k3.txt;-1;1;pentru 100 elem, seq mai rapid de 500 de ori;;;;;;;;;Impartire: 0 - lini, 1 - coloane, -1 - seq
1;4;1672330;10;n10m10k3.txt;0;1;;;;;;;;;;Tip alocare: 1 -dinamic, 0 -static
1;4;1696650;10;n10m10k3.txt;1;1;;;;;;;;;;Tip program: 0 - seq, 1 -paralel
0;1;117981500;10;n1000m1000k5.txt;-1;1;pentru 1mil elem, seq foarte incet ;;;;;;;;;
1;2;65473760;10;n1000m1000k5.txt;0;1;;;;;;;;;;
1;2;62719840;10;n1000m1000k5.txt;1;1;;;;;;;;;;
1;4;41113820;10;n1000m1000k5.txt;0;1;;;;;;;;;;
1;4;37384680;10;n1000m1000k5.txt;1;1;;;;;;;;;;
1;8;30173270;10;n1000m1000k5.txt;0;1;diferenta dintre impartirea pe linii si col este aproape inexistenta;;;;;;;;;
1;8;30020530;10;n1000m1000k5.txt;1;1;;;;;;;;;;
1;16;30481830;10;n1000m1000k5.txt;0;1;;;;;;;;;;
1;16;30525810;10;n1000m1000k5.txt;1;1;aproape de 4 ori mai rapid decat seq;;;;;;;;;
0;1;11328240;10;n10m10000k5.txt;-1;1;seq este mai rau si pentru 100 mii de elem, spre deosebire de java unde era mai bun;;;;;;;;;
1;2;7279070;10;n10m10000k5.txt;0;1;;;;;;;;;;
1;2;7287250;10;n10m10000k5.txt;1;1;;;;;;;;;;
1;4;6501760;10;n10m10000k5.txt;0;1;;;;;;;;;;
1;4;6318710;10;n10m10000k5.txt;1;1;;;;;;;;;;
1;8;5863400;10;n10m10000k5.txt;0;1;;;;;;;;;;
1;8;4936120;10;n10m10000k5.txt;1;1;impartire pe col mai rapida pentru aproape toate cazurile;;;;;;;;;
1;16;5713290;10;n10m10000k5.txt;0;1;;;;;;;;;;
1;16;5300620;10;n10m10000k5.txt;1;1;;;;;;;;;;
0;1;11389310;10;n10000m10k5.txt;-1;1;;;;;;;;;;
1;2;7908380;10;n10000m10k5.txt;0;1;;;;;;;;;;
1;2;7549180;10;n10000m10k5.txt;1;1;;;;;;;;;;
1;4;6485040;10;n10000m10k5.txt;0;1;;;;;;;;;;
1;4;6384700;10;n10000m10k5.txt;1;1;;;;;;;;;;
1;8;4956310;10;n10000m10k5.txt;0;1;;;;;;;;;;
1;8;5713150;10;n10000m10k5.txt;1;1;;;;;;;;;;
1;16;5217630;10;n10000m10k5.txt;0;1;;;;;;;;;;
1;16;6107300;10;n10000m10k5.txt;1;1;;;;;;;;;;
0;1;5220;10;n10m10k3.txt;-1;0;alocare statica mai rapida pentru aproape toate cazurile, diferenta de timp destul de mica;;;;;;;;;
1;4;1601590;10;n10m10k3.txt;0;0;;;;;;;;;;
1;4;1663920;10;n10m10k3.txt;1;0;;;;;;;;;;
0;1;113177200;10;n1000m1000k5.txt;-1;0;;;;;;;;;;
1;2;58559330;10;n1000m1000k5.txt;0;0;;;;;;;;;;
1;2;57708430;10;n1000m1000k5.txt;1;0;;;;;;;;;;
1;4;34849200;10;n1000m1000k5.txt;0;0;;;;;;;;;;
1;4;40219340;10;n1000m1000k5.txt;1;0;;;;;;;;;;
1;8;27104340;10;n1000m1000k5.txt;0;0;;;;;;;;;;
1;8;29298480;10;n1000m1000k5.txt;1;0;;;;;;;;;;
1;16;27305680;10;n1000m1000k5.txt;0;0;;;;;;;;;;
1;16;29319130;10;n1000m1000k5.txt;1;0;;;;;;;;;;
0;1;10043560;10;n10m10000k5.txt;-1;0;;;;;;;;;;
1;2;6737850;10;n10m10000k5.txt;0;0;;;;;;;;;;
1;2;7061940;10;n10m10000k5.txt;1;0;diferenta de timp dintre impartirea pe linii si col variaza, nu se pot trage concluzii;;;;;;;;;
1;4;5923410;10;n10m10000k5.txt;0;0;;;;;;;;;;
1;4;5314630;10;n10m10000k5.txt;1;0;;;;;;;;;;
1;8;5376870;10;n10m10000k5.txt;0;0;;;;;;;;;;
1;8;4581650;10;n10m10000k5.txt;1;0;;;;;;;;;;
1;16;5656030;10;n10m10000k5.txt;0;0;;;;;;;;;;
1;16;4897990;10;n10m10000k5.txt;1;0;;;;;;;;;;
0;1;10017650;10;n10000m10k5.txt;-1;0;;;;;;;;;;
1;2;6992380;10;n10000m10k5.txt;0;0;;;;;;;;;;
1;2;6955950;10;n10000m10k5.txt;1;0;;;;;;;;;;
1;4;5297320;10;n10000m10k5.txt;0;0;;;;;;;;;;
1;4;6295850;10;n10000m10k5.txt;1;0;;;;;;;;;;
1;8;4649680;10;n10000m10k5.txt;0;0;;;;;;;;;;
1;8;5217800;10;n10000m10k5.txt;1;0;se observa totusi o usoara rapiditate pentru impartirea pe linii, alocare statica ;;;;;;;;;
1;16;4920280;10;n10000m10k5.txt;0;0;;;;;;;;;;
1;16;5382130;10;n10000m10k5.txt;1;0;;;;;;;;;;
