Tip Program;Nr threads;Timp executie;No of Runs;FisierIntrare
0;1;60210;10;n10m10.txt
1;2;2883910;10;n10m10.txt
0;1;74829600;10;n1000m1000.txt
1;2;61167370;10;n1000m1000.txt
1;4;62671840;10;n1000m1000.txt
1;4;62823090;10;n1000m1000.txt
1;8;63685650;10;n1000m1000.txt
1;16;93821860;10;n1000m1000.txt
0;1;2876779840;10;n10000m10000.txt
1;2;1643370380;10;n10000m10000.txt
1;4;991938550;10;n10000m10000.txt
1;8;917912510;10;n10000m10000.txt
1;16;960158800;10;n10000m10000.txt
0;1;68647370;10;n1000m1000.txt
1;4;65859360;10;n1000m1000.txt
0;1;67080;10;n10m10.txt
1;4;4006880;10;n10m10.txt
0;1;66522539.9;10;n1000m1000.txt
1;4;88387610.1;10;n1000m1000.txt
0;1;73264510;10;n1000m1000.txt
1;4;63254680;10;n1000m1000.txt
1;8;65829400;10;n1000m1000.txt
0;1;70738650;10;n1000m1000.txt
